species,longitude,latitude
Mustela putorius,1350824,6177954
Mustela putorius,1388200,6500400
Mustela putorius,1282000,6500100
Mustela putorius,1339960,6214400
Mustela putorius,1399149,6404414
Mustela putorius,1283990,6338990
Mustela putorius,1279127,6381235
Mustela putorius,1331750,6162890
Mustela putorius,1289590,6485170
Mustela putorius,1483300,6229900
Mustela putorius,1497490,6281330
Mustela putorius,1371504,6164644
Mustela putorius,1456158,6381178
Mustela putorius,1453100,6598950
Mustela putorius,1446940,6327380
Mustela putorius,1387020,6306240
Mustela putorius,1339570,6220920
Mustela putorius,1365106,6194914
Mustela putorius,1430200,6309200
Mustela putorius,1334830,6175890
Mustela putorius,1314800,6298700
Mustela putorius,1450980,6260290
Mustela putorius,1331180,6215910
Mustela putorius,1286301,6490098
Mustela putorius,1422443,6320335
Mustela putorius,1321950,6300827
Mustela putorius,1398179,6195165
Mustela putorius,1397929,6590328
Mustela putorius,1457609,6554350
Mustela putorius,1387050,6354795
Mustela putorius,1367616,6435119
Mustela putorius,1466370,6575560
Mustela putorius,1363683,6451081
Mustela putorius,1569238,6565573
Mustela putorius,1302407,6342873
Mustela putorius,1476667,6558079
Mustela putorius,1292292,6417781
Mustela putorius,1312485,6380082
Mustela putorius,1517039,6497372
Mustela putorius,1534721,6505580
Mustela putorius,1529107,6390893
Mustela putorius,1279051,6482941
Mustela putorius,1321865,6150736
Mustela putorius,1516819,6499868
Mustela putorius,1366635,6425049
Mustela putorius,1271919,6419275
Mustela putorius,1538928,6580113
Mustela putorius,1363644,6445263
Mustela putorius,1453750,6278590
Mustela putorius,1525128,6608197
Mustela putorius,1366541,6586814
Mustela putorius,1326487,6171138
Mustela putorius,1351100,6588130
Mustela putorius,1455405,6229932
Mustela putorius,1445981,6549134
Mustela putorius,1451409,6506099
Mustela putorius,1279840,6471520
Mustela putorius,1436926,6294342
Mustela putorius,1360837,6218398
Mustela putorius,1283870,6408531
Mustela putorius,1258260,6480420
Mustela putorius,1386776,6473004
Mustela putorius,1348340,6206837
Mustela putorius,1475322,6561396
Mustela putorius,1436368,6372591
Mustela putorius,1370863,6469865
Mustela putorius,1396243,6365410
Mustela putorius,1482000,6371952
Mustela putorius,1407535,6345174
Mustela putorius,1395898,6365392
Mustela putorius,1301239,6434634
Mustela putorius,1531639,6870994
Mustela putorius,1270793,6413055
Mustela putorius,1447664,6573376
